Description,ASIN,Product Description,Manufacturer
"Care Instructions: Hand Wash Only    Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop     Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry     Front Organizer compartments for pens, keys, and cell phone     Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket",B078JVT384,"Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+",Cosmus
"BACKPACK FOR PROFESSIONALS: Backpack with Laptop Compartment and organization for Books & other items. A spacious main compartments & one Front Zipper Pocket. A great backpack for working professionals and students     DURABLE MATERIAL: Extra-large backpack: 18x12x06 (inches), Capacity: 22L separate laptop compartment hold for 15.6 inches Laptop. The Large backpack made from high quality polyester fabric. Laptop pocket designed for your laptops to give them maximum security. It comes with Pen Pocket and Power Bank Pocket which aids in organising your things systematically     SMART & EFFICIENT: This big backpack is crafted specially for professional needs. This bag accommodate your daily essentials with ease. It can easily carry your work from office to home while giving you some space for your needs too. Most suitable for working professional along with college students.     COMFORTABLE: This backpack comes with comfortable wide breathable shoulder straps well-padded materials that helps relieve the stress from your shoulder. It has adjustable chest straps for equal weight-distribution. Along with compact-squeezing straps that lets you squeeze your, while making it look slimmer, providing extra strength for heavy articles too.; WARRANTY: Cosmus Branded Backpack comes with One year Manufacturer Warranty.; Age Range Description: Adult     Pattern Name: Solid",B08R7M639Z,Not Mentioned,Unknown
"Laptop Compatibility: Yes, Laptop size: 15.6 inches    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)    Warranty type: Manufacturer; 12 months warranty against manufacturing defects",B01LXNNFDF,Not Mentioned,Backpack International Pvt Ltd
"Made with strong and premium 450D Polyester    Max padded 15.4"" Laptop compartment    Cool and stylish looks    Unique front quick access mesh pockets    Large front pocket for extra convenience",B0BP1QM6W5,"Made with strong and premium 450D Polyester Max padded 15.4"" Laptop compartment Cool and stylish looks Unique front quick access mesh pockets Large front pocket for extra convenience Available in smart colors",Backpack International Pvt Ltd
"Body Builders    Zipper    Polyester    Width: 40 cm, Height: 22 cm, Depth: 20 cm    Sport Type: Gym & Fitness    Ideal For: Boys, Girls, Men, Women",B0BPNZV6F6,"Hang it Gym Bag It Is Superior Quality Gym Bag . It Is Also Useful As Gym Bag, Small Travel Bag, Swimming Bag .The Bag Comes In A Material Which Is Specially Chosen For Gym Purpose with Leather Look And Is Long Lasting And Durable, You Can Use This Bag For Years And Will Be As Good As New. It Is Easy To Carry And Looks Very Elegant And Stylish, It Is One Stylish Companion For Your Everyday Visit To The Gym. It Is Suited For Men As Well As Women And Will Look Very Stylish With Your Gym Wear. The Bag Has A Compartment Deep Enough For You To Store Your Essential Items for extra carrying capacity. Shaker: Perfect utility item for mixing shakes and other healthy drinks. Trendy shaker bottle with scientifically designed mesh for lump free smooth shake. Leak proof and highly durable. Recommended for mixing protein drinks at gyms or during outdoor sports.",Hang it
"【Capacity】Size: 17*14*28cm, internal size: 15*12*26cm; Fits 1 camera +1 spare lens + mobile phone + other accessories.    【Multi-Functions】12MM ultra-thick body, firmly protect your camera;②Shoulder strap adjustable from 77~135cm, easy to carry;③Thicken stripe handle, comfortable and pressure release.    【Main Feature】Front zipper Compartment for Lens cap & Memory card and other accessories.Two elastic mesh pockets on the side for charger small parts storage;⑤Inner compartment bag for mobile phone, SD card box, filter cloth, or cleaning kit storage.    【Perfect Design and Good Quality】600D high-density nylon, waterproof and wear-resistant; 12mm pearl cotton velcro spacer for shockproof and pressure release;②All the sutures are strengthen make the camera bag more durable;③Zippers are made of alloy metal, which are smooth and no rust.④Cold and heat resistant hooks are durable and not easy to break.    【 COMPATIBILITY 】 Fits Nikon , Canon, Sony and All other DSLR cameras. Package Includes - 1 x D2 Camera Sling bag, 1 x Shoulder Strap , 2 x Spacer pads.",B09KH6CN1M,"SIDRUM D2 DSLR camera Sling bag, Material: 600D High-Density Nylon External dimension (LxWxH): 17*14*28cm / 6.7 x 5.5 x 11 in Internal dimension (LxWxH): 15*12*26cm /5.9 x 4.7 x 10.3 in Net weight (including strap):",Sidrum
"Water Proof Fabric - Our Yoga Mat Cover is designed with Polyester waterproof fabric, which would helpful for mat protection from water, rain and also increases the mat and yoga bag life.    Yoga Mat Bag is full length with top closure and with stylish log on the front with carrying strap which gives gives a stylish and elegant look to the bag.    Adjustable Strap - Yoga Bag comes with the adjustable long and broad shoulder strap which is helpful while travelling and carrying mat to yoga centres or parks.    Comfortable Size - The yoga mats of sizes from 4mm to 10mm would easily fit to the yoga bag and yoga bag is 28.5 inches long and 8 inches wide .    Care Instructions - Do not bleach only Hand or machine wash in cold water & air dry.",B09FZ2N1VQ,"Prarabdh Yoga mat bag/cover is a perfect yoga mat cover. its made by good quality Material. Its design & full covering and make this bag a stylish bag, its strong shoulder strap is Adjustable which make it very comfortable while carrying , its size is perfectly design for yoga mat sized from 4mm to 10mm mats . It has top for easy closer, all our bags have finishing, & are overlock stitched for extra durability & long lasting. Note: Only Yoga Mat Bag, (Not Yoga Mat)",Unknown
Sling Bag    Small Utility Bag    Adjustable and Detachable Strap    Double Side Access with Zip    Outer Material Type: Polyurethane; Occasion Type: Casual; Inner Material Type: Nylon; Age Range Description: Adult,B098JQJ7VV,Not Mentioned,
"COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g; HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items     CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use     CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.     HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.     Pocket Description: Utility Pocket; Age Range Description: Adult; Water Resistance Level: Waterproof; Color Name: Neavy Blue; Pattern Name: Solid",B0BCYX6DW2,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",Northzone
"Care Instructions: Machine Wash    Convenient – Our wet bags are great for carrying diapers, dirty gym clothes and wet swimsuits; not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more    Reuse And Reduce Waste – The better alternative to single-use plastic bags, our bags are made of Chic Buddys' original waterproof fabric that’s both soft and strong (although fabric is waterproof, bags are not completely leakproof due to zippered closure)    Waterproof – Chic Buddys’ original fabric is 100% polyester with embedded TPU for waterproofing and our heat-sealed seams keep the mess where it belongs - inside the bag    Lots Of Uses – Not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more! With a snap handle, snap your bag wherever you need it - stroller, changing table or suitcase    Easy-To-Clean – Wipe small messes; hand-wash or machine wash; to extend the life of fabric, we do recommend hang drying our quick-dry fabric; always ensure fabric is completely dry before storing",B0B2RKM6M8,"These bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more.  



 That’s why Chic Buddy is here. We want you to be able to see the big picture, and we want you to use Chic Buddy bags for all the things you might not have thought twice about before: dirty gym clothes, wet swimsuits, diapers, electronics and more!  



 These bags are perfect for carrying diapers, dirty gym clothes, and wet swimsuits they're not just for wet stuff. They make excellent organizers for toys, accessories, toiletries, electronics, travel and more.  



 Chic Buddys’ original fabric is 100% polyester with embedded TPU for waterproofing and our heat-sealed seams keep the mess where it belongs - inside the bag",
Care Instructions: Wipe with Damp Cloth    Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.    USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.    Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.    Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects    Closure Type: Zipper; Lining Description: Polyester; Age Range Description: Adult,B09VTCNN75,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",FUR JADEN
✅ Lightweight yet durable bag for use or everyday outings    ✅ Made Using 100% Sustainable And Eco Freindly Cotton Materials    ✅ We have used high-quality metal and fabric in this bag    ✅ The bags work quite well for casual as well as party wear    ✅ The soft Straps make it convenient for you to hold it the whole day,B08VS8JBNK,"Durable High quality bag that will last you for years and years. Fashion, elegant and used in countless ways, it makes the ultimate gift to ladies of all ages wishing to look stunning on the beach, or in the street in summer!  



 This beautiful sling is a perfect combination of style and functionality. Its spacious enough to carry all your essentials but in style ofcourse..!!!  



 Even when you are not on vacation, our reusable high quality bag is ideal for going to the pool, grocery shopping, school, work, travel, gym, and church. These bags are perfect for custom DIY projects, art & crafts, decorations, and wedding gift bags for your bridesmaid.",SAAV TEX PVT LTD
